x,y,z,type
23109.5,5990,0,stroma
23111,6015,0,stroma
23120,6002.5,0,stroma
23122,5976.5,0,stroma
23150.5,6173.5,0,stroma
23153.5,5894,0,stroma
23163,6186,0,stroma
23180.5,6196.5,0,stroma
23182,5930,0,stroma
23182.5,6166,0,stroma
23186,5839.5,0,stroma
23190,5881,0,stroma
23190,6025,0,stroma
23194.5,6277,0,stroma
23198.5,6135.5,0,stroma
23201,5905.5,0,stroma
23206,5978,0,stroma
23209,5953.5,0,stroma
23211,6015,0,stroma
23224,6183.5,0,stroma
23225,6163,0,stroma
23230,6221,0,stroma
23234.5,5866,0,Teff
23234.5,5886,0,Teff
23234.5,6179.5,0,stroma
23240.5,5831,0,stroma
23241,5907,0,stroma
23241,5933.5,0,stroma
23243.5,6192,0,stroma
23246.5,5800.5,0,stroma
23248.5,6248,0,stroma
23250,5951,0,stroma
23250.5,6083,0,stroma
23251,6231.5,0,stroma
23251.5,5861.5,0,Teff
23253,5931,0,stroma
23254.5,5885,0,Teff
23257,5903.5,0,Teff
23257.5,6204,0,stroma
23258,5965.5,0,stroma
23263.5,5779.5,0,stroma
23264,6241.5,0,stroma
23270,5869.5,0,Teff
23271.5,5854.5,0,Teff
23274.5,6084.5,0,stroma
23276,5769,0,stroma
23280.5,5982.5,0,stroma
23280.5,6037,0,stroma
23281,6218,0,stroma
23281.5,5737,0,stroma
23282.5,5804,0,stroma
23284,5818,0,stroma
23288.5,5898.5,0,stroma
23288.5,6086,0,stroma
23289,5760.5,0,stroma
23290,5914,0,stroma
23290,6009.5,0,stroma
23293,5954,0,stroma
23294.5,6075,0,stroma
23298,5963.5,0,stroma
23298.5,5858.5,0,Teff
23300.5,6028,0,stroma
23302.5,5807.5,0,stroma
23306.5,6176,0,stroma
23309.5,5757,0,stroma
23309.5,5943.5,0,stroma
23311.5,5928,0,stroma
23314,6048.5,0,stroma
23315.5,6245,0,stroma
23317,6013,0,stroma
23318.5,6165,0,stroma
23319,5907,0,Teff
23319,6261.5,0,stroma
23319.5,6222,0,stroma
23326,5795.5,0,Mph
23327,5838,0,Teff
23328,5808.5,0,Mph
23328.5,5695.5,0,stroma
23328.5,5830,0,Mph
23329,5862.5,0,Teff
23329.5,6190,0,stroma
23331.5,5881.5,0,Teff
23336,5895,0,Teff
23342,5792.5,0,stroma
23345.5,5685.5,0,stroma
23347.5,5736,0,stroma
23349.5,6216,0,stroma
23350.5,5902.5,0,Teff
23352,6278.5,0,stroma
23353.5,5874.5,0,Teff
23353.5,5806,0,Mph
23355.5,5710,0,stroma
23357,5800,0,stroma
23359.5,5940,0,Teff
23360,5720.5,0,stroma
23363.5,5851,0,Teff
23366.5,6158.5,0,stroma
23367,5962.5,0,Teff
23367,6099.5,0,stroma
23370.5,6242,0,stroma
23371.5,6205.5,0,stroma
23373.5,5799.5,0,Mph
23374,5770.5,0,stroma
23374.5,5652.5,0,stroma
23376,5900,0,Teff
23378,6185.5,0,stroma
23378.5,5951.5,0,Teff
23380,5883,0,Teff
23380,5974.5,0,stroma
23380,6140.5,0,stroma
23383.5,5835,0,stroma
23383.5,6098,0,stroma
23385,5807,0,stroma
23385.5,5927,0,Teff
23387,6020,0,stroma
23389.5,6081,0,stroma
23390.5,6235,0,stroma
23391,5772.5,0,stroma
23393.5,6038,0,stroma
23394.5,5745,0,stroma
23394.5,6197,0,stroma
23395,5857,0,Teff
23395,6103,0,stroma
23395.5,5913.5,0,Teff
23396,6062.5,0,stroma
23396,6216,0,stroma
23396.5,5663,0,stroma
23397,5952,0,Teff
23397.5,5709.5,0,stroma
23397.5,6253.5,0,stroma
23400,6118.5,0,stroma
23400.5,5609.5,0,stroma
23401.5,5452.5,0,stroma
23401.5,5982.5,0,stroma
23405.5,5411,0,stroma
23408,5932.5,0,Teff
23408,6020,0,stroma
23408.5,5572.5,0,stroma
23409.5,5989.5,0,stroma
23410,5908.5,0,Teff
23410.5,5334.5,0,stroma
23413,5494,0,stroma
23414.5,5962,0,stroma
23415,5623,0,stroma
23416,5379,0,stroma
23416.5,6193.5,0,stroma
23416.5,6268,0,stroma
23417,5313.5,0,stroma
23417,5402,0,stroma
23417,5461.5,0,stroma
23417.5,5296,0,stroma
23418,5346,0,stroma
23418,5856,0,stroma
23420,5599,0,stroma
23421,5828,0,stroma
23421.5,5512,0,stroma
23423.5,6220,0,stroma
23423.5,6251.5,0,stroma
23424,5330.5,0,stroma
23424.5,5424,0,stroma
23425,5996.5,0,Mph
23427.5,5533,0,stroma
23430,5247,0,stroma
23430.5,5777,0,stroma
23431,5365,0,stroma
23431.5,5683,0,stroma
23432.5,5553.5,0,stroma
23433.5,5724.5,0,Mph
23434.5,5323.5,0,stroma
23434.5,5808,0,stroma
23435,5188,0,stroma
23435.5,5219.5,0,stroma
23436,5905.5,0,stroma
23436,5929,0,stroma
23436.5,5616,0,stroma
23437.5,5752.5,0,stroma
23438.5,5403,0,stroma
23439.5,5848,0,stroma
23440.5,5880.5,0,stroma
23442.5,5574,0,stroma
23442.5,5865.5,0,stroma
23444,5629.5,0,stroma
23444,5942,0,stroma
23444.5,5830.5,0,stroma
23445,6017,0,Mph
23446,5514.5,0,stroma
23446,6146,0,stroma
23446.5,5991.5,0,stroma
23447,6003,0,Mph
23447.5,5449.5,0,stroma
23449,5719,0,stroma
23449.5,5911,0,stroma
23452.5,6112.5,0,stroma
23453,5675,0,Mph
23453.5,5585.5,0,stroma
23454.5,5560.5,0,stroma
23455.5,6203,0,stroma
23455.5,5719.5,0,Mph
23457,5325.5,0,stroma
23457,6187.5,0,stroma
23458.5,5175,0,stroma
23458.5,5524.5,0,stroma
23459,5411,0,stroma
23459.5,5693.5,0,Mph
23461.5,5456,0,stroma
23462.5,6032,0,stroma
23463,5760,0,Mph
23464,5668.5,0,stroma
23466,5630.5,0,stroma
23468.5,6046.5,0,stroma
23469,5795.5,0,stroma
23470.5,5701,0,stroma
23471,5868,0,stroma
23473,5847.5,0,stroma
23473,5945,0,stroma
23474,5792,0,Mph
23475,5918.5,0,stroma
23475.5,5494.5,0,stroma
23476.5,6097.5,0,stroma
23476.5,6162.5,0,stroma
23477,5522,0,stroma
23478,5675.5,0,Mph
23479,5764.5,0,Mph
23480,5665,0,stroma
23481.5,5765.5,0,Teff
23481.5,5720.5,0,Mph
23482,5559,0,stroma
23482.5,5271,0,stroma
