x,y,z,type
2870.25,-2834.75,0,Tcell
353.25,-460.25,0,Tcell
1129.25,-704.75,0,Tcell
394.75,-228.75,0,Tcell
289.75,-88.75,0,Tcell
393.75,42.25,0,Tcell
602.25,-61.25,0,Tcell
-2281.25,3490.25,0,Tcell
-2130.75,3761.75,0,Tcell
3185.25,-4363.25,0,TU
3332.75,-4358.75,0,TU
3094.25,-4357.75,0,TU
3235.75,-4346.75,0,TU
3135.75,-4345.75,0,TU
3066.75,-4343.75,0,TU
3288.25,-4342.25,0,TU
3181.25,-4340.25,0,TU
3101.25,-4339.75,0,TU
3023.75,-4339.75,0,TU
3044.75,-4337.75,0,TU
3215.25,-4335.75,0,TU
3320.75,-4334.25,0,TU
2952.25,-4328.25,0,TU
3085.25,-4325.75,0,TU
3108.25,-4324.75,0,TU
2891.25,-4324.25,0,TU
3326.25,-4324.25,0,TU
2928.25,-4323.25,0,TU
3229.75,-4321.75,0,TU
3345.75,-4321.25,0,TU
3023.75,-4315.75,0,TU
2830.75,-4315.75,0,TU
2966.75,-4315.25,0,TU
2876.75,-4315.25,0,TU
2942.25,-4312.75,0,TU
2992.25,-4311.75,0,TU
3428.75,-4311.75,0,TU
3370.25,-4311.75,0,TU
3239.25,-4311.25,0,TU
3130.75,-4309.25,0,TU
2920.75,-4306.75,0,TU
3215.75,-4306.75,0,TU
3105.75,-4302.75,0,TU
3306.75,-4302.75,0,TU
3350.25,-4302.25,0,TU
2857.75,-4301.75,0,TU
3081.25,-4300.75,0,TU
3072.75,-4300.75,0,TU
3413.75,-4300.25,0,TU
3054.25,-4299.75,0,TU
2887.25,-4298.25,0,TU
3180.75,-4298.25,0,TU
3479.75,-4296.75,0,TU
3035.25,-4295.75,0,TU
3124.75,-4293.75,0,TU
2767.75,-4292.25,0,TU
2914.75,-4289.75,0,TU
2927.75,-4288.75,0,TU
2942.75,-4288.25,0,TU
3216.25,-4288.25,0,TU
3321.75,-4287.25,0,TU
3451.25,-4286.75,0,TU
2897.25,-4286.25,0,TU
2731.25,-4285.25,0,TU
3245.75,-4283.75,0,TU
2709.25,-4282.75,0,TU
3190.25,-4278.75,0,TU
2991.75,-4278.75,0,TU
2829.75,-4277.25,0,TU
2965.75,-4277.25,0,TU
3356.75,-4276.75,0,TU
3273.25,-4276.25,0,TU
3419.75,-4275.25,0,TU
2748.25,-4274.25,0,TU
3065.25,-4272.75,0,TU
2916.75,-4272.25,0,TU
2935.75,-4270.75,0,TU
2897.25,-4269.75,0,TU
3477.25,-4269.25,0,TU
3309.75,-4269.25,0,TU
3133.25,-4268.75,0,TU
3028.75,-4265.75,0,TU
3045.75,-4264.75,0,TU
3119.75,-4264.25,0,TU
2887.25,-4263.75,0,TU
2804.25,-4263.25,0,TU
3101.25,-4261.75,0,TU
2910.25,-4260.75,0,TU
2862.75,-4260.75,0,TU
