x,y,z,type
2064.25,-1502,0,Tcell
2062.25,-1471.5,0,Tcell
2064.75,-1432,0,Tcell
2071.25,-2276.5,0,Tcell
2093.25,-2231,0,Tcell
2515.75,-2190.5,0,Tcell
2262.25,-1983,0,Tcell
1596.25,-2189.5,0,Tcell
1784.75,-2101.5,0,Tcell
1807.25,-2094.5,0,Tcell
1919.25,-1973,0,Tcell
1572.75,-1774,0,Tcell
1343.75,-799,0,Tcell
1524.75,-738.5,0,Tcell
1516.25,-721.5,0,Tcell
1511.75,-582,0,Tcell
1309.25,-510,0,Tcell
-45.75,-480.5,0,Tcell
-207.75,-178.5,0,Tcell
-189.25,-168,0,Tcell
468.75,439.5,0,Tcell
-740.75,385,0,Tcell
-720.75,384.5,0,Tcell
-604.25,433,0,Tcell
-739.75,441.5,0,Tcell
-664.75,455.5,0,Tcell
-631.75,458,0,Tcell
-385.25,503.5,0,Tcell
-844.25,530.5,0,Tcell
1504.75,-1332,0,Tcell
1644.75,-1321,0,Tcell
1250.75,-1276,0,Tcell
1756.75,-1268.5,0,Tcell
2021.75,-1073.5,0,Tcell
-1250.25,1164.5,0,Tcell
-298.25,302,0,Tcell
276.75,354,0,Tcell
-249.25,405.5,0,Tcell
-143.75,618.5,0,Tcell
-346.25,626.5,0,Tcell
784.75,-867,0,Tcell
554.25,-669,0,Tcell
1162.25,-656,0,Tcell
836.25,-161,0,Tcell
529.75,-142,0,Tcell
-681.75,718.5,0,Tcell
-663.75,733.5,0,Tcell
-628.75,749.5,0,Tcell
-1033.75,797.5,0,Tcell
-1048.25,1017,0,Tcell
-717.25,1015,0,Tcell
-428.25,1095.5,0,Tcell
-397.25,1129.5,0,Tcell
-690.75,1301,0,Tcell
-557.75,1453.5,0,Tcell
-163.25,677,0,Tcell
-277.25,746.5,0,Tcell
-281.25,877,0,Tcell
-290.25,892.5,0,Tcell
-317.25,1016.5,0,Tcell
10.75,1051,0,Tcell
-348.75,1066,0,Tcell
-142.25,1100,0,Tcell
-325.75,1118,0,Tcell
-344.75,1125,0,Tcell
-214.75,1215.5,0,Tcell
-133.75,1275,0,Tcell
-2284.25,2251.5,0,Tcell
-1293.75,1523,0,Tcell
-1728.75,2133,0,Tcell
-637.25,1555,0,Tcell
-847.75,1565,0,Tcell
-1155.25,1570,0,Tcell
-513.25,1591.5,0,Tcell
-938.25,1827.5,0,Tcell
-335.25,1481,0,Tcell
-315.25,1481.5,0,Tcell
-2336.25,2358.5,0,Tcell
-2121.25,2484,0,Tcell
-1816.75,2275.5,0,Tcell
-1580.75,2582.5,0,Tcell
-1432.75,2594,0,Tcell
-1818.25,2616.5,0,Tcell
-1904.75,2805,0,Tcell
2368.25,-3266,0,TU
2330.75,-3263,0,TU
2386.25,-3255.5,0,TU
2347.25,-3248.5,0,TU
2310.75,-3248,0,TU
2368.25,-3242,0,TU
2293.25,-3231.5,0,TU
2328.25,-3227.5,0,TU
2388.75,-3215,0,TU
2282.75,-3209.5,0,TU
2349.25,-3206.5,0,TU
2319.75,-3205,0,TU
2332.25,-3201,0,TU
2400.75,-3200.5,0,TU
2370.25,-3200,0,TU
2317.25,-3191,0,TU
2395.25,-3189,0,TU
2228.75,-3187.5,0,TU
2347.75,-3183.5,0,TU
2418.75,-3182.5,0,TU
2393.25,-3176,0,TU
2431.75,-3170,0,TU
2315.25,-3167.5,0,TU
2282.25,-3163.5,0,TU
2236.75,-3161.5,0,TU
2382.25,-3159.5,0,TU
2409.25,-3154.5,0,TU
2440.75,-3154,0,TU
2207.25,-3152,0,TU
2229.75,-3142.5,0,TU
2287.25,-3140,0,TU
2354.75,-3139,0,TU
2427.75,-3130,0,TU
2471.25,-3129,0,TU
2231.75,-3126,0,TU
2378.75,-3124,0,TU
2206.75,-3116,0,TU
2440.25,-3113,0,TU
2311.75,-3113,0,TU
2466.75,-3110.5,0,TU
2392.25,-3108,0,TU
2127.75,-3106,0,TU
2484.25,-3104,0,TU
2165.75,-3101.5,0,TU
2076.25,-3101.5,0,TU
2449.25,-3095,0,TU
2223.75,-3092.5,0,TU
2106.75,-3092,0,TU
2469.25,-3091.5,0,TU
2378.25,-3091.5,0,TU
2330.25,-3091,0,TU
2310.25,-3090.5,0,TU
2087.75,-3089,0,TU
2425.75,-3088.5,0,TU
2187.75,-3087,0,TU
2071.75,-3086.5,0,TU
2240.75,-3085.5,0,TU
2123.75,-3078.5,0,TU
2444.25,-3078.5,0,TU
2052.75,-3074.5,0,TU
2472.75,-3074,0,TU
2356.25,-3072,0,TU
2159.25,-3071,0,TU
2305.75,-3070.5,0,TU
2182.25,-3067,0,TU
2110.25,-3066.5,0,TU
2268.25,-3066,0,TU
2094.25,-3063,0,TU
2329.75,-3061.5,0,TU
2075.75,-3060.5,0,TU
2235.25,-3059,0,TU
2132.25,-3058.5,0,TU
2389.25,-3057.5,0,TU
2449.25,-3057,0,TU
2296.25,-3055,0,TU
2180.75,-3055,0,TU
2054.75,-3054,0,TU
2042.75,-3052,0,TU
2116.25,-3051.5,0,TU
2471.75,-3050,0,TU
2276.75,-3049,0,TU
2415.75,-3047.5,0,TU
2327.75,-3044.5,0,TU
2026.75,-3041.5,0,TU
2104.75,-3041,0,TU
2135.25,-3039.5,0,TU
2287.75,-3035.5,0,TU
2383.25,-3034.5,0,TU
2234.75,-3032.5,0,TU
2504.25,-3032.5,0,TU
2176.25,-3032,0,TU
2255.25,-3032,0,TU
2463.75,-3032,0,TU
2077.75,-3031.5,0,TU
2325.25,-3030,0,TU
2449.75,-3028,0,TU
2342.75,-3024,0,TU
2413.25,-3023,0,TU
2165.75,-3021.5,0,TU
2511.75,-3021,0,TU
2061.25,-3020,0,TU
2200.75,-3019,0,TU
2034.25,-3017.5,0,TU
2283.25,-3013.5,0,TU
2467.75,-3012.5,0,TU
2434.75,-3012,0,TU
2075.75,-3012,0,TU
2048.25,-3010.5,0,TU
2008.75,-3009,0,TU
2255.25,-3009,0,TU
2109.25,-3008,0,TU
2385.75,-3005,0,TU
2453.75,-3002.5,0,TU
2088.25,-3002.5,0,TU
2153.75,-3001.5,0,TU
