x,y,z,type
-2348.75,-2382.75,0,Tcell
935.25,-2568.25,0,Tcell
1002.75,-2563.75,0,Tcell
924.25,-2552.25,0,Tcell
1011.75,-2550.75,0,Tcell
948.25,-2539.25,0,Tcell
919.75,-2527.75,0,Tcell
1005.75,-2535.25,0,Tcell
966.75,-2518.75,0,Tcell
944.75,-2519.75,0,Tcell
927.75,-2508.25,0,Tcell
987.25,-2500.25,0,Tcell
1060.25,-2507.75,0,Tcell
952.25,-2499.75,0,Tcell
969.75,-2489.75,0,Tcell
1144.75,-2473.25,0,Tcell
1102.75,-2472.25,0,Tcell
1071.25,-2468.75,0,Tcell
1115.75,-2455.75,0,Tcell
957.25,-2442.75,0,Tcell
919.25,-2438.25,0,Tcell
933.25,-2434.75,0,Tcell
991.75,-2435.25,0,Tcell
943.75,-2422.75,0,Tcell
1058.75,-2424.25,0,Tcell
993.75,-2416.75,0,Tcell
1133.75,-2420.25,0,Tcell
1116.25,-2414.75,0,Tcell
930.25,-2409.75,0,Tcell
1130.75,-2396.25,0,Tcell
1060.75,-2381.25,0,Tcell
1091.75,-2368.75,0,Tcell
1136.75,-2366.25,0,Tcell
1065.25,-2365.25,0,Tcell
1123.25,-2354.25,0,Tcell
1554.25,-2341.75,0,Tcell
1071.75,-2346.25,0,Tcell
1132.25,-2341.75,0,Tcell
1293.25,-2329.25,0,Tcell
1067.25,-2332.25,0,Tcell
926.25,-2324.75,0,Tcell
1553.75,-2312.25,0,Tcell
1357.75,-2294.75,0,Tcell
2527.25,-1549.75,0,Tcell
-1897.75,-2516.25,0,Tcell
-1796.25,-2486.75,0,Tcell
-2171.75,-2416.25,0,Tcell
-2148.75,-2388.25,0,Tcell
-1136.25,-2497.25,0,Tcell
-1323.25,-2415.25,0,Tcell
-903.75,-2343.25,0,Tcell
-924.75,-2336.75,0,Tcell
-928.25,-2313.25,0,Tcell
464.25,-2916.75,0,Tcell
525.75,-2718.75,0,Tcell
698.25,-2675.25,0,Tcell
722.25,-2672.75,0,Tcell
734.25,-2666.25,0,Tcell
668.25,-2664.75,0,Tcell
746.25,-2655.25,0,Tcell
827.25,-2658.25,0,Tcell
734.25,-2646.25,0,Tcell
470.75,-2645.75,0,Tcell
483.75,-2633.25,0,Tcell
829.25,-2641.75,0,Tcell
702.25,-2628.75,0,Tcell
722.25,-2634.25,0,Tcell
731.75,-2622.25,0,Tcell
792.75,-2627.25,0,Tcell
428.75,-2618.75,0,Tcell
800.75,-2608.25,0,Tcell
767.25,-2610.75,0,Tcell
742.75,-2603.25,0,Tcell
715.25,-2602.75,0,Tcell
781.75,-2597.75,0,Tcell
490.25,-2598.75,0,Tcell
684.75,-2593.25,0,Tcell
706.75,-2587.25,0,Tcell
723.75,-2570.75,0,Tcell
744.75,-2573.75,0,Tcell
781.25,-2575.75,0,Tcell
627.75,-2568.75,0,Tcell
684.75,-2568.75,0,Tcell
892.75,-2552.25,0,Tcell
796.75,-2553.25,0,Tcell
