x,y,z,type
-2492.5,-3594,0,Tcell
-2477,-3582.5,0,Tcell
-4028,-3540.5,0,Tcell
-4520,-1607.5,0,Tcell
-4501,-1600.5,0,Tcell
-4445.5,-1517,0,Tcell
-5544,-357.5,0,Tcell
-5555,-341,0,Tcell
-5556,-309.5,0,Tcell
-5558,-284.5,0,Tcell
-5562.5,-271.5,0,Tcell
-5559.5,-258,0,Tcell
-5729,-244.5,0,Tcell
-5714.5,-229.5,0,Tcell
-5670,-161.5,0,Tcell
4317,-351.5,0,Tcell
4800,288.5,0,Tcell
277.5,1989.5,0,Tcell
1214.5,1648.5,0,Tcell
1096.5,1722,0,Tcell
1229.5,1855.5,0,Tcell
1073,1921.5,0,Tcell
4224,2005.5,0,Tcell
4980.5,1987,0,Tcell
4797,1985,0,Tcell
-247.5,2544.5,0,Tcell
247.5,2080,0,Tcell
530.5,2134.5,0,Tcell
316,2152.5,0,Tcell
279,2230,0,Tcell
107,2411,0,Tcell
306.5,2447.5,0,Tcell
951.5,2090.5,0,Tcell
1012.5,2132,0,Tcell
1191,2189,0,Tcell
1026.5,2204.5,0,Tcell
4141,2382,0,Tcell
4169.5,2393.5,0,Tcell
2221.5,3076,0,Tcell
2225,3095.5,0,Tcell
2070,3353.5,0,Tcell
617,3998,0,Tcell
584,4011.5,0,Tcell
537,4023.5,0,Tcell
624.5,4023.5,0,Tcell
642,4033.5,0,Tcell
1189,3832,0,Tcell
1172,3852,0,Tcell
1145,3856,0,Tcell
1038.5,3923.5,0,Tcell
877.5,3989.5,0,Tcell
841.5,4003,0,Tcell
808,4005.5,0,Tcell
779.5,4020.5,0,Tcell
723.5,4018.5,0,Tcell
749.5,4036,0,Tcell
2946.5,3913.5,0,Tcell
2886,3981.5,0,Tcell
3198,3852.5,0,Tcell
3229,3850,0,Tcell
3098,3857.5,0,Tcell
3056,3863.5,0,Tcell
3115,3868.5,0,Tcell
4051.5,3750.5,0,Tcell
4147.5,3770.5,0,Tcell
-5024.5,-3183,0,Tcell
-5065,-3164.5,0,Tcell
-5052.5,-3152,0,Tcell
-5017,-3144,0,Tcell
-5172.5,-3092,0,Tcell
-5193,-3075,0,Tcell
-4996.5,-3069,0,Tcell
-5207.5,-3060.5,0,Tcell
-5001.5,-3049,0,Tcell
-4987,-3051,0,Tcell
-5010,-3041,0,Tcell
-5182.5,-3036.5,0,Tcell
-5213.5,-3036.5,0,Tcell
-5229.5,-3034,0,Tcell
-5077.5,-3013,0,Tcell
-5225,-2998.5,0,Tcell
-5045,-2975,0,Tcell
