x,y,z,type
-15283,2350.5,0,Teff
-15908,2402.5,0,Teff
-13722.5,1888,0,Teff
-13716.5,1908.5,0,Teff
-12782.5,2336,0,Teff
-15615,2727,0,Teff
-15232,917,0,Teff
-15119.5,1001,0,Teff
-15001.5,1017,0,Teff
-15123.5,1050.5,0,Teff
-15045,1077,0,Teff
-15088.5,1186.5,0,Teff
-15072.5,1221,0,Teff
-15038,1636,0,Teff
-13730,4621.5,0,Teff
-13731.5,4656,0,Teff
-13804,4664,0,Teff
-13695,4705.5,0,Teff
-15892,2563,0,Teff
-15936.5,3565,0,Teff
-12996,4120.5,0,Teff
-14518.5,961.5,0,Teff
-14680.5,998,0,Teff
-14620.5,1007,0,Teff
-14562,1012.5,0,Teff
-14612,1014.5,0,Teff
-14587,1025.5,0,Teff
-14600.5,1042.5,0,Teff
-14455.5,1041.5,0,Teff
-14486,1054,0,Teff
-14451,1066,0,Teff
-14805,1074,0,Teff
-14335.5,1103.5,0,Teff
-14427.5,1133.5,0,Teff
-14632,1154.5,0,Teff
-14817.5,1174,0,Teff
-14435.5,1182.5,0,Teff
-14832,1177.5,0,Teff
-14770,1192.5,0,Teff
-14326,1200,0,Teff
-14702,1219.5,0,Teff
-14415,1238,0,Teff
-14338,1250,0,Teff
-14880,1257,0,Teff
-14788.5,1266,0,Teff
-14285.5,1266.5,0,Teff
-14346.5,1273.5,0,Teff
-14814.5,1270,0,Teff
-14447.5,1281.5,0,Teff
-14716.5,1282.5,0,Teff
-14652.5,1295.5,0,Teff
-14986,1295.5,0,Teff
-14889,1299.5,0,Teff
-14859,1303,0,Teff
-14680,1303,0,Teff
-14958,1307.5,0,Teff
-14535.5,1307.5,0,Teff
-14667,1315.5,0,Teff
-14946,1317.5,0,Teff
-14903.5,1321,0,Teff
-14856,1326.5,0,Teff
-14726.5,1339,0,Teff
-14602,1347.5,0,Teff
-14756.5,1346.5,0,Teff
-14807,1344,0,Teff
-14616,1350,0,Teff
-14690.5,1354,0,Teff
-14731.5,1363,0,Teff
-14644.5,1367.5,0,Teff
-14692.5,1374,0,Teff
-14681.5,1377,0,Teff
-14797.5,1379,0,Teff
